   0.407    0.000    1.000    0.997    0.283   -1.054   -0.783
   0.162    0.000    1.000   -0.579    1.651    1.828    1.747
   0.347    1.000    1.000   -0.429    1.266    1.328   -0.433
   0.000    1.000    1.000   -0.679   -0.095   -0.669   -0.472
  -0.469    0.000    1.000   -0.639   -0.444    1.056    0.679
   1.064    0.000    1.000    2.206    2.187    0.148    1.043
   0.431    1.000    1.000    0.386    0.737    0.287    1.556
   0.062    0.000    1.000   -0.936    1.176    0.970    0.397
   0.050    0.000    1.000   -0.638    0.907    1.154   -0.003
  -0.314    0.000    1.000   -0.140   -0.862    1.309   -0.902
  -1.112    0.000    1.000   -2.799   -1.772   -0.113   -2.701
   0.450    1.000    1.000    0.927   -0.174   -0.758    0.055
   0.039    1.000    1.000    0.688   -0.880   -0.799    1.370
  -0.489    1.000    1.000   -0.805   -1.728   -0.430    0.578
   0.141    0.000    1.000    0.574    0.339    0.182    0.753
   0.701    1.000    1.000    2.392    0.413    0.171    1.573
   0.098    1.000    1.000    2.238   -1.294   -2.220    0.502
   0.112    0.000    1.000    1.744   -0.798    0.123   -1.776
   0.540    0.000    1.000    1.069    0.891    0.462   -0.992
   0.726    1.000    1.000    1.496    1.069    0.558    1.786
   0.242    1.000    1.000    0.795    0.314   -1.419   -0.174
   0.408    0.000    1.000    1.417    0.807   -0.125    0.269
  -0.475    0.000    1.000   -0.233   -1.198    0.565    0.117
   0.044    1.000    1.000    0.468   -0.831    0.196   -1.789
  -0.970    0.000    1.000   -1.097   -2.123    0.218    1.330
  -0.284    0.000    1.000   -0.403   -0.126   -0.661    0.842
  -0.043    1.000    1.000   -1.606    1.255   -0.930    1.198
   0.475    0.000    1.000    1.661    0.807    2.062    1.125
  -0.394    1.000    1.000   -1.086   -0.732   -0.023    0.670
   0.501    0.000    1.000    2.087    0.164    1.449    0.975
  -0.201    1.000    1.000   -1.267    0.181   -0.470    2.074
   0.278    1.000    1.000   -0.335    1.031   -1.422   -0.498
  -0.088    0.000    1.000   -1.363    0.379   -1.335    0.518
  -0.508    0.000    1.000    0.642   -1.978   -0.501   -0.104
   0.712    1.000    1.000    2.598   -0.025   -1.345    1.350
  -0.550    1.000    1.000    0.180   -1.862   -1.153    1.796
  -0.613    0.000    1.000   -1.605   -0.428   -0.522   -1.050
   0.297    1.000    1.000   -0.735    0.501    0.697    0.524
  -0.158    1.000    1.000    0.279   -1.371    0.126    1.439
  -0.074    1.000    1.000    1.959   -2.025    0.007    0.436
   0.097    0.000    1.000   -0.552    0.121    0.459    0.467
   0.225    1.000    1.000    1.609   -0.270   -0.766    0.745
   0.138    0.000    1.000    0.500    0.474   -0.494   -1.434
  -0.562    0.000    1.000   -0.997   -1.100    1.004    0.671
   0.445    1.000    1.000    0.322    0.761   -1.208   -0.708
   0.500    0.000    1.000   -0.549    1.806    1.003   -1.801
  -0.153    1.000    1.000   -0.354   -0.823    1.196    1.620
   0.432    1.000    1.000    1.267    0.333    0.449   -0.766
   0.006    0.000    1.000   -0.212    0.456    1.112    0.077
  -0.160    0.000    1.000   -0.240    0.143   -1.566   -1.268
  -0.238    0.000    1.000    0.284   -1.412    0.221    1.712
   0.099    1.000    1.000   -1.020    0.168   -0.696    1.256
   0.269    1.000    1.000   -0.531    1.377    0.146    0.842
   0.104    1.000    1.000    0.020   -0.194    1.689    0.703
   0.399    1.000    1.000    0.704    0.666    0.193    2.291
  -0.115    0.000    1.000    1.524   -1.095    2.050    1.195
  -0.253    1.000    1.000   -0.274   -1.049   -0.883    0.129
  -0.223    0.000    1.000   -0.741    0.073   -0.562    0.812
   0.132    0.000    1.000    1.472    0.307   -0.034   -0.382
  -0.091    0.000    1.000   -0.392    0.140    1.436    0.726
   0.891    1.000    1.000    1.460    1.395   -0.078   -1.603
  -0.701    1.000    1.000   -0.549   -2.557   -0.385    2.295
  -0.244    1.000    1.000   -0.978   -0.355   -0.534    2.239
  -0.054    0.000    1.000    0.177   -0.030    1.417   -1.969
  -0.117    1.000    1.000   -0.126    0.197   -0.345   -2.166
  -0.049    1.000    1.000   -0.269   -0.111   -0.200   -0.504
   0.334    1.000    1.000   -0.218    0.703    1.789    0.073
   0.711    1.000    1.000    2.201    0.688   -0.868    0.037
   0.033    1.000    1.000   -0.207   -0.087   -0.120    1.032
   0.009    1.000    1.000   -0.095    0.279   -1.262   -0.663
   0.058    0.000    1.000    0.580   -0.275    0.308   -0.333
   0.422    1.000    1.000   -0.669    1.612    0.035   -2.095
   0.080    1.000    1.000    0.370   -0.761    0.849    0.146
  -0.432    0.000    1.000   -1.256   -0.552    0.712   -1.694
   0.043    0.000    1.000   -0.362    0.957   -0.953   -0.212
  -0.587    1.000    1.000   -0.865   -1.375   -0.240    0.006
  -0.404    0.000    1.000    0.124   -1.600    0.031    0.168
   0.003    1.000    1.000   -0.247    0.069    0.746    0.036
   0.365    1.000    1.000   -0.434    1.032    0.268   -1.007
  -0.011    1.000    1.000    0.594   -0.199   -0.543    0.530
   0.385    1.000    1.000    0.280    0.250   -1.168    1.376
   0.039    1.000    1.000    0.436   -0.319   -0.696    0.917
  -0.978    0.000    1.000   -2.152   -1.465    0.958   -0.436
   0.761    1.000    1.000    1.863    0.835   -0.679    1.303
  -0.065    1.000    1.000   -1.692    0.743   -0.742   -0.450
  -0.018    0.000    1.000    0.591    0.115   -0.145    1.485
   0.733    1.000    1.000    2.959   -0.006   -1.392    0.458
  -0.167    1.000    1.000   -0.121   -0.584    2.292    0.355
   0.384    1.000    1.000   -0.354    0.636   -0.157    0.539
   0.385    1.000    1.000    1.219    0.420    0.842   -0.541
   0.245    1.000    1.000   -1.326    1.408    0.392    0.942
  -0.209    1.000    1.000   -1.321   -0.670   -1.747   -1.591
  -0.376    1.000    1.000   -1.420   -0.866    0.522   -0.617
  -0.405    1.000    1.000   -1.251   -1.184   -0.471   -0.038
  -0.128    1.000    1.000   -0.461   -0.355    0.615   -1.380
   0.176    1.000    1.000   -1.654    1.253   -0.737   -1.081
  -0.258    1.000    1.000    0.278   -1.075    0.359   -1.982
   0.004    1.000    1.000    0.956   -0.878   -0.511    0.108
   0.846    1.000    1.000    0.696    1.876   -0.487   -0.023
   0.386    1.000    1.000    0.161    0.820   -1.498   -0.143
  -0.400    1.000    1.000   -0.829   -0.659    0.621   -1.353
   0.532    1.000    1.000   -0.144    1.317   -0.210    0.854
   0.345    1.000    1.000    0.751    0.343   -0.013    0.066
   0.216    0.000    1.000    1.176    0.680    0.284   -1.828
   0.618    1.000    1.000    0.640    1.375   -0.668    0.613
  -0.286    1.000    1.000   -0.249   -0.670   -0.092   -0.843
  -0.167    1.000    1.000    0.686   -0.818   -1.478    0.077
  -0.389    1.000    1.000   -0.376   -1.380    1.121   -0.731
  -0.797    0.000    1.000   -0.427   -1.755    0.797   -2.614
   0.101    0.000    1.000   -0.193    0.449   -0.551    1.132
   0.122    0.000    1.000    1.869   -0.519    0.740   -0.287
   0.081    1.000    1.000   -0.103   -0.283    0.439   -1.204
   0.634    1.000    1.000    0.541    1.340    0.336    2.287
  -0.251    1.000    1.000   -0.510   -0.448   -0.319    0.015
  -0.507    1.000    1.000   -0.357   -1.895   -0.046   -1.926
  -0.170    0.000    1.000   -0.034    0.180   -0.476    0.193
   0.069    0.000    1.000    1.719   -0.324   -1.652   -0.663
  -0.606    0.000    1.000   -0.900   -0.931    1.159   -0.026
  -0.624    0.000    1.000   -0.393   -0.958    0.471   -0.816
  -0.668    0.000    1.000   -1.888   -1.128    0.813   -0.864
   0.105    1.000    1.000    0.673   -0.414   -0.099   -0.876
  -0.153    1.000    1.000   -0.987    0.059   -0.129    0.434
   0.268    1.000    1.000   -0.968    0.420   -1.238    0.561
  -0.709    1.000    1.000   -2.252   -0.589    0.034    0.353
  -0.118    1.000    1.000    0.135   -1.212   -0.964   -0.982
  -0.157    0.000    1.000   -0.479    0.360   -0.362   -0.226
  -0.055    1.000    1.000   -1.119    0.790   -1.710   -0.069
  -0.304    1.000    1.000   -1.306   -0.883   -1.525   -0.848
  -0.083    1.000    1.000    0.109   -0.773   -0.014   -1.106
  -0.055    1.000    1.000    0.251   -0.695   -0.898   -0.957
   0.121    0.000    1.000    1.161   -0.099    1.025    0.531
  -0.481    0.000    1.000   -1.774   -0.408    0.472   -0.556
  -0.152    0.000    1.000    0.245   -0.168   -0.536    1.173
   0.350    1.000    1.000    1.534   -0.530    0.696   -0.166
  -0.311    1.000    1.000   -1.309   -0.009   -1.908    0.623
  -0.770    0.000    1.000   -1.751   -0.666   -0.526   -1.767
   0.571    1.000    1.000    0.850    0.383    0.956    0.803
   0.187    1.000    1.000   -0.224    0.482    0.788    0.416
  -0.199    0.000    1.000   -1.709    0.729   -0.612   -1.017
  -0.879    0.000    1.000   -0.530   -2.443   -1.400    1.209
   0.203    1.000    1.000    1.698   -0.689   -0.705   -1.369
  -0.313    0.000    1.000   -0.456   -0.745    0.826    0.165
  -0.056    0.000    1.000    1.517   -0.587    0.971   -1.979
   0.203    0.000    1.000   -1.147    1.520   -0.121   -0.018
  -0.094    0.000    1.000   -1.082    0.904    0.371   -0.838
  -0.352    1.000    1.000    0.161   -1.639   -0.981   -0.421
   0.489    1.000    1.000    0.310    1.170    2.009    0.722
   0.126    1.000    1.000   -0.399    0.110   -0.477    2.163
  -0.389    0.000    1.000    0.143   -1.257   -0.383    0.620
   0.182    0.000    1.000    1.630    0.066   -1.393    0.908
  -0.701    0.000    1.000   -1.263   -1.403    0.634    1.133
   0.075    0.000    1.000   -0.327    0.104   -0.197   -0.000
   0.336    1.000    1.000    1.602    0.059    0.547   -0.139
   0.437    1.000    1.000   -0.039    1.449   -0.861    1.067
  -0.049    0.000    1.000   -0.599    0.983   -0.366   -1.332
   0.480    1.000    1.000    0.932    0.385    0.070    0.677
   0.299    1.000    1.000    0.613    0.674   -1.621   -0.411
   0.402    0.000    1.000    0.986    0.994    1.199    1.469
  -0.529    0.000    1.000   -0.582   -0.660   -0.120   -2.467
  -0.999    1.000    1.000   -2.438   -1.307   -1.339    1.260
  -0.577    1.000    1.000   -0.248   -2.631   -0.520    0.038
   0.940    1.000    1.000    0.600    1.985    0.956    0.687
   0.892    0.000    1.000    1.030    2.251   -0.085    1.923
  -0.396    0.000    1.000   -1.503   -0.232    0.413    0.513
  -0.380    0.000    1.000   -0.257   -1.050   -1.298   -0.321
   0.045    0.000    1.000    0.513   -0.027   -0.070    0.781
   0.222    1.000    1.000   -0.142    0.752   -1.568   -0.656
   0.055    0.000    1.000   -0.265    0.930   -0.891    0.498
  -0.095    0.000    1.000    1.337   -0.990   -0.100   -1.899
  -0.604    0.000    1.000   -1.701   -0.239   -1.315   -2.229
   0.588    0.000    1.000   -0.133    1.931   -0.986   -0.863
